index,timestamp,respondent,respondent-name,type,type-name,load_mw,value-units,hour,dayofweek,month,year
96,2023-01-02 00:00:00,PJM,"PJM Interconnection, LLC",D,Demand,84633,megawatthours,0,0,1,2023
97,2023-01-02 00:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,89921,megawatthours,0,0,1,2023
98,2023-01-02 00:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,88932,megawatthours,0,0,1,2023
99,2023-01-02 00:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,4302,megawatthours,0,0,1,2023
100,2023-01-02 01:00:00,PJM,"PJM Interconnection, LLC",D,Demand,84092,megawatthours,1,0,1,2023
101,2023-01-02 01:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,88619,megawatthours,1,0,1,2023
102,2023-01-02 01:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,88403,megawatthours,1,0,1,2023
103,2023-01-02 01:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,4314,megawatthours,1,0,1,2023
104,2023-01-02 02:00:00,PJM,"PJM Interconnection, LLC",D,Demand,82849,megawatthours,2,0,1,2023
105,2023-01-02 02:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,86094,megawatthours,2,0,1,2023
106,2023-01-02 02:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,87433,megawatthours,2,0,1,2023
107,2023-01-02 02:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,4587,megawatthours,2,0,1,2023
108,2023-01-02 03:00:00,PJM,"PJM Interconnection, LLC",D,Demand,80873,megawatthours,3,0,1,2023
109,2023-01-02 03:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,82799,megawatthours,3,0,1,2023
110,2023-01-02 03:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,85164,megawatthours,3,0,1,2023
111,2023-01-02 03:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,4294,megawatthours,3,0,1,2023
112,2023-01-02 04:00:00,PJM,"PJM Interconnection, LLC",D,Demand,78511,megawatthours,4,0,1,2023
113,2023-01-02 04:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,79186,megawatthours,4,0,1,2023
114,2023-01-02 04:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,83043,megawatthours,4,0,1,2023
115,2023-01-02 04:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,4535,megawatthours,4,0,1,2023
116,2023-01-02 05:00:00,PJM,"PJM Interconnection, LLC",D,Demand,76432,megawatthours,5,0,1,2023
117,2023-01-02 05:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,76979,megawatthours,5,0,1,2023
118,2023-01-02 05:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,80525,megawatthours,5,0,1,2023
119,2023-01-02 05:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,4095,megawatthours,5,0,1,2023
120,2023-01-02 06:00:00,PJM,"PJM Interconnection, LLC",D,Demand,74205,megawatthours,6,0,1,2023
121,2023-01-02 06:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,73301,megawatthours,6,0,1,2023
122,2023-01-02 06:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,78380,megawatthours,6,0,1,2023
123,2023-01-02 06:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,4177,megawatthours,6,0,1,2023
124,2023-01-02 07:00:00,PJM,"PJM Interconnection, LLC",D,Demand,72655,megawatthours,7,0,1,2023
125,2023-01-02 07:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,72192,megawatthours,7,0,1,2023
126,2023-01-02 07:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,77277,megawatthours,7,0,1,2023
127,2023-01-02 07:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,4625,megawatthours,7,0,1,2023
128,2023-01-02 08:00:00,PJM,"PJM Interconnection, LLC",D,Demand,71739,megawatthours,8,0,1,2023
129,2023-01-02 08:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,71576,megawatthours,8,0,1,2023
130,2023-01-02 08:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,76278,megawatthours,8,0,1,2023
131,2023-01-02 08:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,4542,megawatthours,8,0,1,2023
132,2023-01-02 09:00:00,PJM,"PJM Interconnection, LLC",D,Demand,71862,megawatthours,9,0,1,2023
133,2023-01-02 09:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,71753,megawatthours,9,0,1,2023
134,2023-01-02 09:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,76110,megawatthours,9,0,1,2023
135,2023-01-02 09:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,4251,megawatthours,9,0,1,2023
136,2023-01-02 10:00:00,PJM,"PJM Interconnection, LLC",D,Demand,73055,megawatthours,10,0,1,2023
137,2023-01-02 10:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,72672,megawatthours,10,0,1,2023
138,2023-01-02 10:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,77329,megawatthours,10,0,1,2023
139,2023-01-02 10:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,4277,megawatthours,10,0,1,2023
140,2023-01-02 11:00:00,PJM,"PJM Interconnection, LLC",D,Demand,74622,megawatthours,11,0,1,2023
141,2023-01-02 11:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,74308,megawatthours,11,0,1,2023
142,2023-01-02 11:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,78854,megawatthours,11,0,1,2023
143,2023-01-02 11:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,4236,megawatthours,11,0,1,2023
144,2023-01-02 12:00:00,PJM,"PJM Interconnection, LLC",D,Demand,77530,megawatthours,12,0,1,2023
145,2023-01-02 12:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,76572,megawatthours,12,0,1,2023
146,2023-01-02 12:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,81822,megawatthours,12,0,1,2023
147,2023-01-02 12:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,4295,megawatthours,12,0,1,2023
148,2023-01-02 13:00:00,PJM,"PJM Interconnection, LLC",D,Demand,80222,megawatthours,13,0,1,2023
149,2023-01-02 13:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,78425,megawatthours,13,0,1,2023
150,2023-01-02 13:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,83962,megawatthours,13,0,1,2023
151,2023-01-02 13:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,3743,megawatthours,13,0,1,2023
152,2023-01-02 14:00:00,PJM,"PJM Interconnection, LLC",D,Demand,81611,megawatthours,14,0,1,2023
153,2023-01-02 14:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,79180,megawatthours,14,0,1,2023
154,2023-01-02 14:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,85181,megawatthours,14,0,1,2023
155,2023-01-02 14:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,3573,megawatthours,14,0,1,2023
156,2023-01-02 15:00:00,PJM,"PJM Interconnection, LLC",D,Demand,82210,megawatthours,15,0,1,2023
157,2023-01-02 15:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,79211,megawatthours,15,0,1,2023
158,2023-01-02 15:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,85436,megawatthours,15,0,1,2023
159,2023-01-02 15:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,3229,megawatthours,15,0,1,2023
160,2023-01-02 16:00:00,PJM,"PJM Interconnection, LLC",D,Demand,82961,megawatthours,16,0,1,2023
161,2023-01-02 16:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,79072,megawatthours,16,0,1,2023
162,2023-01-02 16:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,87225,megawatthours,16,0,1,2023
163,2023-01-02 16:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,4267,megawatthours,16,0,1,2023
164,2023-01-02 17:00:00,PJM,"PJM Interconnection, LLC",D,Demand,82465,megawatthours,17,0,1,2023
165,2023-01-02 17:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,79140,megawatthours,17,0,1,2023
166,2023-01-02 17:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,86779,megawatthours,17,0,1,2023
167,2023-01-02 17:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,4317,megawatthours,17,0,1,2023
168,2023-01-02 18:00:00,PJM,"PJM Interconnection, LLC",D,Demand,82737,megawatthours,18,0,1,2023
169,2023-01-02 18:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,78968,megawatthours,18,0,1,2023
170,2023-01-02 18:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,86875,megawatthours,18,0,1,2023
171,2023-01-02 18:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,4142,megawatthours,18,0,1,2023
172,2023-01-02 19:00:00,PJM,"PJM Interconnection, LLC",D,Demand,82756,megawatthours,19,0,1,2023
173,2023-01-02 19:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,79466,megawatthours,19,0,1,2023
174,2023-01-02 19:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,86847,megawatthours,19,0,1,2023
175,2023-01-02 19:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,4095,megawatthours,19,0,1,2023
